Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C17, C2, C3, C4, C5, C6, C7, C8",0402,11,0.1uF,
"C10, C9",0402,2,1uF,
"C13, C14",0603,2,10uF,
"C15, C16",0402,2,33pF,
"GPIO2, GPIO3",0805,2,LED,
"GPIO4, GPIO5, RUN1",SW_Push_SPST_NO_Alps_SKRK,3,SW_Push,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
J11,PinSocket_1x10_P2.54mm_Vertical,1,5v line,
J2,PinSocket_1x11_P2.54mm_Vertical,1,gpioB,
J4,PinSocket_1x18_P2.54mm_Vertical,1,gpioA,
J5,PinSocket_1x03_P2.54mm_Vertical,1,debug,
J6,PinSocket_1x05_P2.54mm_Vertical,1,power,
J8,PinSocket_1x10_P2.54mm_Vertical,1,gnd line,
J9,PinSocket_1x10_P2.54mm_Vertical,1,3v3 line,
"R1, R2",0402,2,5.1K,
"R10, R9",0402,2,220,
"R11, R6, R8",0805,3,10K,
"R3, R4",0402,2,22,
"R5, R7",0402,2,1K,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,bootsel,
TP1,TestPoint_Pad_D1.5mm,1,gnd,
TP10,MountingHole_2.2mm_M2_Pad,1,HOLE4,
TP2,TestPoint_Pad_D1.5mm,1,3v3,
TP3,TestPoint_Pad_D1.5mm,1,5v,
TP4,TestPoint_Pad_D1.5mm,1,swclk,
TP5,TestPoint_Pad_D1.5mm,1,swdio,
TP6,TestPoint_Pad_D1.5mm,1,run,
TP7,MountingHole_2.2mm_M2_Pad,1,HOLE1,
TP8,MountingHole_2.2mm_M2_Pad,1,HOLE2,
TP9,MountingHole_2.2mm_M2_Pad,1,HOLE3,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-23,1,MCP1700x-330xxTT,
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24_WITH_4_PIN,
